project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
Automated Financial Advisory System,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,6,3.11,9,9,1685843,14.5,2,FinTech,Incremental,Idea,PhD,1290,56,3,18.42,Low
Cloud-Based Business Intelligence Platform,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,3,0.65,9,3,2720241,21.55,9,E-commerce,Disruptive,Idea,UG,4135,25,5,23.41,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,3,0.43,8,6,8347735,17.39,10,AgriTech,Disruptive,Prototype,PG,913,70,5,24.08,Low
IoT Smart Home Automation Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,0.55,5,1,412732,12.01,3,FinTech,Disruptive,Idea,UG,2745,67,8,29.54,Low
Virtual Reality Learning Environment,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,2.72,1,6,7436263,19.94,8,EdTech,Incremental,Idea,UG,2139,97,9,35.03,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,5,4.19,9,5,1956793,2.65,6,EdTech,Incremental,Idea,PhD,4795,7,5,19.87,Low
Digital Marketplace for Local Businesses,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,3,4.81,9,3,719662,20.65,10,AI,Incremental,MVP,PG,2719,53,7,29.79,Low
AI-Powered Fraud Detection System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,2,4.09,7,2,8092655,2.1,1,FinTech,Disruptive,Prototype,PhD,2064,95,2,11.02,Low
Personalized Nutrition Recommendation System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,0.05,3,6,8999138,19.03,10,AI,Incremental,Idea,PhD,1247,98,5,23.47,Low
AI Resume Screening Tool,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,3.94,4,4,6155265,23.68,1,E-commerce,Incremental,Idea,UG,917,17,10,37.48,Low
IoT Smart Home Automation Solution,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,6,1.73,10,8,3669985,21.79,4,EdTech,Incremental,Idea,PG,762,99,4,23.74,Low
AI-Powered Fraud Detection System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,5,1.92,1,6,3187326,12.22,3,AgriTech,Disruptive,Idea,UG,2506,58,7,26.7,Low
Cloud-Based Business Intelligence Platform,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,0.79,2,4,1728224,2.55,9,E-commerce,Disruptive,Idea,PhD,38,15,7,23.61,Low
Online Mental Health Support Platform,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,5,3.47,4,2,3496669,5.75,3,E-commerce,Incremental,Prototype,UG,2896,56,5,19.07,Low
Automated Financial Advisory System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,3.19,6,3,3350216,11.06,1,E-commerce,Incremental,Prototype,UG,4665,38,2,11.67,Low
Blockchain-Powered Digital Payments,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,5,1.0,1,9,354855,9.21,8,HealthTech,Disruptive,MVP,PhD,984,17,5,20.18,Low
Smart Waste Management Solution,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,3,4.22,4,7,5251218,19.92,5,AgriTech,Incremental,Prototype,PhD,3899,3,4,19.34,Low
Cloud-Based Business Intelligence Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,6,2.31,7,1,7902861,17.14,4,FinTech,Disruptive,Prototype,UG,520,38,9,33.59,Low
Personalized Nutrition Recommendation System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,4,0.32,6,5,1814673,19.94,1,AgriTech,Disruptive,MVP,PG,4167,21,2,13.71,Low
AI-Based Crop Monitoring System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",6,1.96,6,9,3220016,23.82,9,HealthTech,Incremental,MVP,PG,778,86,3,19.98,Low
Smart Waste Management Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,1,1.21,9,6,4168549,5.26,1,HealthTech,Disruptive,MVP,PhD,713,40,2,12.35,Low
AI-Powered Fraud Detection System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,4,0.36,1,1,2059949,0.83,4,HealthTech,Disruptive,MVP,PG,917,66,6,20.09,Low
Blockchain-Powered Digital Payments,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,3.45,2,2,9119609,4.19,1,FinTech,Disruptive,Prototype,PG,1895,75,3,12.54,Low
E-Learning Personalization Engine,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,0.16,6,9,5121142,15.32,9,FinTech,Disruptive,MVP,PG,715,8,8,31.72,Low
Cloud-Based Business Intelligence Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,2,3.13,4,7,2861274,22.37,4,AI,Incremental,Prototype,UG,3461,58,6,26.93,Low
AI Chatbot for Customer Service,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,2,2.4,9,10,4765469,2.04,6,FinTech,Incremental,Prototype,PhD,2134,12,9,33.35,Low
AI-Based Crop Monitoring System,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,3.08,3,7,6162941,8.42,8,AgriTech,Disruptive,Idea,UG,3804,53,7,26.74,Low
Online Event Management Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,3,0.81,6,2,3958242,5.71,8,AI,Disruptive,MVP,PG,2920,59,3,13.72,Low
Smart Healthcare Monitoring Platform,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,4,1.0,3,6,1956830,6.44,1,FinTech,Incremental,Prototype,PG,158,58,8,29.15,Low
Fitness Tracking and Recommendation App,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,4,3.14,4,8,1434945,21.68,9,EdTech,Incremental,MVP,UG,1273,98,4,21.9,Low
Cloud-Based Business Intelligence Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,2,2.99,4,6,9489413,8.98,3,EdTech,Disruptive,Idea,UG,529,40,5,20.6,Low
E-Learning Personalization Engine,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,0.66,8,4,1267949,4.49,2,EdTech,Incremental,Prototype,PhD,374,37,5,20.24,Low
Cloud-Based Business Intelligence Platform,"An event management platform that automates planning, scheduling, and coordination of events.",6,2.46,6,8,5550070,8.98,2,E-commerce,Disruptive,Prototype,PG,3814,70,1,10.4,Low
Fitness Tracking and Recommendation App,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",3,1.56,2,3,2100212,0.23,1,AgriTech,Incremental,Prototype,UG,4555,56,4,14.67,Low
Personalized Nutrition Recommendation System,"An event management platform that automates planning, scheduling, and coordination of events.",5,1.19,10,3,2664837,4.24,10,E-commerce,Incremental,Idea,PG,2891,94,9,33.63,Low
Digital Marketplace for Local Businesses,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,2.25,8,1,1952811,0.92,5,AI,Disruptive,Idea,PG,2734,76,5,19.4,Low
Cloud-Based Business Intelligence Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,4.22,8,6,3632138,2.8,2,AI,Disruptive,Idea,PG,2381,2,9,31.8,Low
Automated Financial Advisory System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,5,4.68,1,7,8792882,11.3,5,FinTech,Disruptive,MVP,PhD,1008,51,10,35.68,Low
Virtual Reality Learning Environment,An AI-based fraud detection system that identifies suspicious financial activities in real time.,4,4.93,8,2,1906220,21.7,8,FinTech,Incremental,MVP,UG,3249,23,6,25.8,Low
Smart Waste Management Solution,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,4,0.63,4,2,6699142,4.06,5,HealthTech,Disruptive,Idea,PG,128,8,6,20.77,Low
Fitness Tracking and Recommendation App,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,5,4.82,2,1,9363526,24.47,10,AgriTech,Incremental,Prototype,UG,3485,82,1,10.43,Low
Autonomous Delivery Drone System,"An event management platform that automates planning, scheduling, and coordination of events.",2,4.34,8,1,5426775,19.89,4,AI,Disruptive,Idea,PG,3072,19,5,22.06,Low
E-Learning Personalization Engine,"An event management platform that automates planning, scheduling, and coordination of events.",5,2.89,2,2,5752533,7.95,1,AgriTech,Incremental,MVP,UG,4783,13,9,30.05,Low
Digital Marketplace for Local Businesses,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,2.84,9,4,8918385,10.1,4,EdTech,Disruptive,Prototype,PG,1637,19,6,24.3,Low
Personalized Nutrition Recommendation System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,2,3.81,9,7,8555106,21.72,1,E-commerce,Incremental,Prototype,PhD,1367,54,7,31.22,Low
Automated Financial Advisory System,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,1.64,1,10,7059926,14.09,3,FinTech,Disruptive,MVP,UG,2875,93,9,34.98,Low
Personalized Nutrition Recommendation System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,1.19,1,3,3047099,0.37,3,HealthTech,Disruptive,Idea,PhD,3015,78,10,32.83,Low
Blockchain-Powered Digital Payments,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,2,2.32,3,5,235049,23.79,2,EdTech,Incremental,Prototype,UG,2501,28,5,22.72,Low
Cloud-Based Business Intelligence Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,5,1.71,5,2,8803380,6.15,4,EdTech,Disruptive,Idea,PG,2830,43,7,25.19,Low
Smart Traffic Management System,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,6,3.73,5,7,5054842,0.19,5,AgriTech,Incremental,Idea,PhD,714,51,4,16.66,Low
Digital Marketplace for Local Businesses,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,5,2.4,3,2,9755741,12.15,5,E-commerce,Incremental,Idea,UG,3635,27,3,13.47,Low
Blockchain-Powered Digital Payments,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,2,3.05,2,2,708956,10.34,9,AgriTech,Incremental,Prototype,PhD,4445,75,7,25.77,Low
Autonomous Delivery Drone System,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",4,0.91,7,8,1893376,14.18,10,AgriTech,Disruptive,Prototype,PG,35,84,4,21.02,Low
AI-Based Crop Monitoring System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,6,4.03,1,8,1465465,2.81,7,FinTech,Incremental,Idea,PG,1300,86,9,31.98,Low
Smart Traffic Management System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,2,1.06,10,8,3756169,9.02,10,FinTech,Disruptive,MVP,PG,2631,24,1,10.68,Low
AI-Powered Fraud Detection System,A cloud-based business intelligence platform offering data visualization and decision-making support for enterprises.,2,1.28,4,2,6406567,20.57,7,HealthTech,Disruptive,Prototype,UG,3273,89,2,13.69,Low
Online Mental Health Support Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,3,3.12,1,7,2891777,3.82,1,AI,Disruptive,MVP,PG,482,98,1,8.12,Low
Cloud-Based Business Intelligence Platform,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,5,0.48,5,3,6990571,5.15,10,E-commerce,Disruptive,Prototype,UG,968,78,9,31.99,Low
Smart Waste Management Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,6,0.71,3,7,267681,10.11,6,AI,Disruptive,Prototype,UG,4008,75,7,27.52,Low
